01653480101;"с Топольное"
01653488101;"с Угловское"
01654408101;"с Кабаново"
01654411101;"с Михайловка"
01654422101;"с Новобураново"
01654433101;"с Новокалманка"
01654444101;"с Огни"
01654446101;"с Пономарёво"
01654448101;"п Приозёрный"
01654455101;"с Усть-Калманка"
01654466101;"с Чарышское"
01655408101;"с Белово"
01655411101;"с Брусенцево"
01655419101;"с Вяткино"
01655423101;"с Елбанка"
01655434101;"с Клепиково"
01655440101;"с Коробейниково"
01655443101;"с Краснодарское"
01655446101;"с Красноярка"
01655457101;"с Нижняя Гусиха"
01655460101;"с Нижнеозерное"
01655470101;"с Троицкое"
01655480101;"с Усть-Чарышская Пристань"
01655491101;"с Чеканиха"
01656412101;"с Зятькова Речка"
01656420101;"с Коротояк"
01656430101;"с Мартовка"
01656435101;"с Мичуринское"
01656446101;"с Новоильинка"
01656460101;"с Плёсо-Курья"
01656480101;"с Свердловское"
01656486101;"с Топольное"
01656490101;"с Утянка"
01656493101;"с Хабары"
01657407101;"с Бочкари"
01657412101;"с Воеводское"
01657415101;"с Дружба"
01657420101;"с Еланда"
01657430101;"с Ложкино"
01657434101;"с Марушка"
01657445101;"с Овсянниково"
01657464101;"с Победа"
01657468101;"с Сухая Чемровка"
01657473101;"с Хомутино"
01657479101;"с Целинное"
01657490101;"с Шалап"
01658411101;"с Берёзовка"
01658420101;"с Красный Партизан"
01658422101;"с Малый Бащелак"
01658433101;"с Маралиха"
01658444101;"с Маяк"
01658455101;"с Алексеевка"
01658466101;"с Сентелек"
01658477101;"с Тулата"
01658488101;"с Чарышское"
01659409101;"с Белоглазово"
01659413101;"с Бобровка"
01659420101;"с Усть-Порозиха"
01659426101;"с Горьковское"
01659430101;"с Ельцовка"
01659435101;"с Зеркалы"
01659439101;"с Ильинка"
01659442101;"с Комариха"
01659446101;"с Красный Яр"
01659452101;"с Нечунаево"
01659462101;"п Первомайский"
01659465101;"с Порожнее"
01659470101;"с Родино"
01659474101;"с Шипуново"
01659478101;"с Самсоново"
01659480101;"с Тугозвоново"
01659485101;"с Урлапово"
01659490101;"с Хлопуново"
01659495101;"с Шипуново"
01660405101;"с Гришковка"
01660410101;"с Дегтярка"
01660415101;"с Камыши"
01660420101;"с Гальбштадт"
01660425101;"с Николаевка"
01660430101;"с Орлово"
01660435101;"с Подсосново"
01660440101;"с Полевое"
01660445101;"с Протасово"
01660450101;"с Редкая Дубрава"
01660460101;"с Шумановка"
01660470101;"с Кусак"
01701000001;"г Барнаул"
01703000001;"г Алейск"
01704000001;"г Белокуриха"
01705000001;"г Бийск"
01706000001;"г Заринск"
01713000001;"г Новоалтайск"
01716000001;"г Рубцовск"
01719000001;"г Славгород"
01730000001;"г Яровое"
01755000051;"п Сибирский"
03601101001;"г Абинск"
03601153051;"пгт Ахтырский"
03601401101;"с Варнавинское"
03601402101;"х Ольгинский"
03601403101;"ст-ца Мингрельская"
03601405101;"с Светлогорское"
03601406101;"ст-ца Федоровская"
03601408101;"ст-ца Холмская"
03605101001;"г Апшеронск"
03605109001;"г Хадыженск"
03605157051;"пгт Нефтегорск"
03605407101;"ст-ца Кабардинская"
03605410101;"ст-ца Кубанская"
03605413101;"ст-ца Куринская"
03605416101;"п Мезмай"
03605418101;"ст-ца Нижегородская"
03605419101;"п Новые Поляны"
03605422101;"п Отдаленный"
03605431101;"ст-ца Тверская"
03605434101;"с Черниговское"
